time_ms,level
29461,3
29511,3
29561,3
29611,3
29661,3
29711,3
29761,3
29811,3
29861,3
29911,3
29961,3
30011,3
30061,3
30111,3
30161,5
30211,5
30261,5
30311,5
30361,5
30411,5
30461,5
30511,5
30561,5
30611,5
30661,5
30711,5
30761,5
30811,5
30861,5
30911,5
30961,5
31011,4
31061,4
31111,4
31161,4
31211,4
31261,4
31311,4
31361,4
31411,4
31461,4
31511,4
31561,4
31611,4
31661,4
31711,4
31761,4
31811,4
31861,4
31911,4
31961,4
32011,4
32061,4
32111,4
32161,4
32211,4
32261,4
32311,4
32361,4
32411,4
32461,4
32511,4
32561,2
32611,2
32661,2
32711,3
32761,3
32811,3
32861,3
32911,3
32961,3
33011,3
33061,3
33111,3
33161,3
33211,3
33261,3
33311,3
33361,3
33411,3
33461,3
33511,3
33561,3
33611,3
33661,3
33711,3
33761,3
33811,3
33861,3
33911,3
33961,3
34011,3
34061,3
34111,3
34161,3
34211,3
34261,3
34311,2
34361,2
34411,2
34461,3
34511,3
34561,3
34611,2
34661,2
34711,2
34761,2
34811,2
34861,2
34911,2
34961,2
35011,2
35061,2
35111,2
35161,2
35211,1
35261,1
35311,1
35361,1
35411,1
35461,1
35511,1
35561,1
35611,1
35661,1
35711,1
35761,1
35811,1
35861,1
35911,1
35961,1
36011,1
36061,1
36111,1
36161,1
36211,1
36261,1
36311,1
36361,0
36411,0
36461,1
36511,1
36561,1
36611,1
36661,0
36711,0
36761,1
36811,1
36861,0
36911,0
36961,0
37011,0
37061,0
37111,0
37161,0
37211,0
37261,0
37311,1
37361,1
37411,1
37461,0
37511,0
37561,0
37611,0
37661,0
37711,0
37761,0
37811,0
37861,0
37911,0
37961,0
38011,0
38061,0
38111,0
38161,1
38211,1
